INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181011_021004.wac,1798.001333,2018-10-11,02:10:04,2,2018-10-10,14:10:04,14,,,,,,,,,,,,,1,,,,,,4V9msGGSAcfvV9q6yDopoA==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181011_024004.wac,1798.001333,2018-10-11,02:40:04,2,2018-10-10,14:40:04,14,,,,,,,,,,,,,1,,,,,,q1T1CQxeeFk6+PrKNeXqvA==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181011_031004.wac,1798.001333,2018-10-11,03:10:04,3,2018-10-10,15:10:04,15,,,,,,,,,,,,,1,,,,,,Wf1AB0WwHu6Sf2QjRH9M4Q==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181011_034004.wac,1798.001333,2018-10-11,03:40:04,3,2018-10-10,15:40:04,15,,,,,,,,,,,,,1,,,,,,/BK9mXWYIW/xp1x/Psr8Vg==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181011_041004.wac,1798.001333,2018-10-11,04:10:04,4,2018-10-10,16:10:04,16,,,,,,,,,,,,,1,,,,,,j6l6Gk51/Jw9TC1c+ZfYyg==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181011_044004.wac,1798.001333,2018-10-11,04:40:04,4,2018-10-10,16:40:04,16,,,,,,,,,,,,,1,,,,,,3Zg/0bP6N5UaQDohYASXTw==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181011_051004.wac,1798.001333,2018-10-11,05:10:04,5,2018-10-10,17:10:04,17,,,,,,,,,,,,,1,,,,,,bgvpfjOE1xTwN0EUnZmk4A==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181011_054004.wac,1798.001333,2018-10-11,05:40:04,5,2018-10-10,17:40:04,17,,,,,,,,,,,,,1,,,,,,Pa9gC2EbAFWWXA0gepUAjg==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181011_061004.wac,1798.001333,2018-10-11,06:10:04,6,2018-10-10,18:10:04,18,,,,,,,,,,,,,1,,,,,,CMl5IyEigKeVMIULukjiSQ==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181011_064004.wac,118.001333,2018-10-11,06:40:04,6,2018-10-10,18:40:04,18,,,,,,,,,,,,,1,,,,,,CW7c7tZdIkLyD1hTgVSpfQ==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181011_170802.wac,1800.001333,2018-10-11,17:08:02,17,2018-10-11,05:08:02,5,,,,,,,,,,,,,1,,,,,,X8Hmq49iOkUdxzS6yZyAuQ==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181011_173804.wac,1798.001333,2018-10-11,17:38:04,17,2018-10-11,05:38:04,5,,,,,,,,,,,,,1,,,,,,uTr5TqKmjG6yyxKiytyBcQ==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181011_163800.wac,1800.001333,2018-10-11,16:38:00,16,2018-10-11,04:38:00,4,,,,,,,,,,,,,1,,,,,,GTHtOmO+04AZTIQRjs4vZg==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181011_180804.wac,1798.001333,2018-10-11,18:08:04,18,2018-10-11,06:08:04,6,,,,,,,,,,,,,1,,,,,,LibH194DFKYacc6AtNqaGw==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181011_183804.wac,1798.001333,2018-10-11,18:38:04,18,2018-10-11,06:38:04,6,,,,,,,,,,,,,1,,,,,,DvptsY8d5NEXro0h+YxtQw==
