"filename","obs_datetime","species_auto","conf_intvl","sucess","species_man","validator","validator_comments"
"SR2_20180709_012148_000.wav",2018-07-09 01:21:48,"Nycnoc",6,FALSE,"-","-","-"
"SR2_20170929_172319_000.wav",2017-09-29 17:23:19,"Nycnoc",6,FALSE,"-","-","-"
"SR2_20160727_223442_447.wav",2016-07-27 22:34:42,"Nycnoc",6,FALSE,"-","-","-"
"SR2_20171014_171631_000.wav",2017-10-14 17:16:31,"Nycnoc",7,FALSE,"-","-","-"
"SR2_20171015_171536_000.wav",2017-10-15 17:15:36,"Nycnoc",7,FALSE,"-","-","-"
"SR2_20170830_190659_000.wav",2017-08-30 19:06:59,"Nycnoc",7,FALSE,"-","-","-"
"SR2_20170928_175802_000.wav",2017-09-28 17:58:02,"Nycnoc",7,FALSE,"-","-","-"
"SR2_20160909_194549_000.wav",2016-09-09 19:45:49,"Nycnoc",7,FALSE,"-","-","-"
"SR2_20180728_203902_000.wav",2018-07-28 20:39:02,"Nycnoc",7,FALSE,"-","-","-"
"SR2_20171031_190813_000.wav",2017-10-31 19:08:13,"Nycnoc",7,FALSE,"-","-","-"
"SR2_20160709_215531_037.wav",2016-07-09 21:55:31,"Nycnoc",7,FALSE,"-","-","-"
"SR2_20160806_212535_061.wav",2016-08-06 21:25:35,"Nycnoc",7,FALSE,"-","-","-"
"SR2_20180726_021415_000.wav",2018-07-26 02:14:15,"Nycnoc",7,FALSE,"-","-","-"
"SR2_20170823_200917_000.wav",2017-08-23 20:09:17,"Nycnoc",7,FALSE,"-","-","-"
"SR2_20160518_232707_324.wav",2016-05-18 23:27:07,"Nycnoc",7,FALSE,"-","-","-"
"SR2_20180721_023526_000.wav",2018-07-21 02:35:26,"Nycnoc",7,FALSE,"-","-","-"
"SR2_20180714_214952_000.wav",2018-07-14 21:49:52,"Nycnoc",7,FALSE,"-","-","-"
"SR2_20170928_182937_000.wav",2017-09-28 18:29:37,"Nycnoc",7,FALSE,"-","-","-"
"SR2_20170802_201700_000.wav",2017-08-02 20:17:00,"Nycnoc",7,FALSE,"-","-","-"
"SR2_20170821_201222_000.wav",2017-08-21 20:12:22,"Nycnoc",8,FALSE,"-","-","-"
"SR2_20180713_214204_000.wav",2018-07-13 21:42:04,"Nycnoc",8,FALSE,"-","-","-"
"SR2_20160806_214254_856.wav",2016-08-06 21:42:54,"Nycnoc",8,FALSE,"-","-","-"
"SR2_20170906_204115_000.wav",2017-09-06 20:41:15,"Nycnoc",8,FALSE,"-","-","-"
"SR2_20170901_201041_000.wav",2017-09-01 20:10:41,"Nycnoc",8,FALSE,"-","-","-"
"SR2_20160726_001814_047.wav",2016-07-26 00:18:14,"Nycnoc",8,FALSE,"-","-","-"
"SR2_20160704_021227_807.wav",2016-07-04 02:12:27,"Nycnoc",8,FALSE,"-","-","-"
"SR2_20170929_184808_000.wav",2017-09-29 18:48:08,"Nycnoc",8,FALSE,"-","-","-"
"SR2_20180720_230006_000.wav",2018-07-20 23:00:06,"Nycnoc",8,FALSE,"-","-","-"
"SR2_20160727_223446_905.wav",2016-07-27 22:34:46,"Nycnoc",8,FALSE,"-","-","-"
"SR2_20170904_191759_000.wav",2017-09-04 19:17:59,"Nycnoc",8,FALSE,"-","-","-"
"SR2_20161011_181637_000.wav",2016-10-11 18:16:37,"Nycnoc",8,FALSE,"-","-","-"
"SR2_20170905_185208_000.wav",2017-09-05 18:52:08,"Nycnoc",8,FALSE,"-","-","-"
"SR2_20170901_201047_000.wav",2017-09-01 20:10:47,"Nycnoc",8,FALSE,"-","-","-"
"SR2_20180709_012141_000.wav",2018-07-09 01:21:41,"Nycnoc",8,FALSE,"-","-","-"
"SR2_20170905_185200_000.wav",2017-09-05 18:52:00,"Nycnoc",8,FALSE,"-","-","-"
"SR2_20180727_013455_000.wav",2018-07-27 01:34:55,"Nycnoc",8,FALSE,"-","-","-"
"SR2_20180721_004539_000.wav",2018-07-21 00:45:39,"Nycnoc",8,FALSE,"-","-","-"
"SR2_20160711_215946_325.wav",2016-07-11 21:59:46,"Nycnoc",8,FALSE,"-","-","-"
"SR2_20170830_190644_000.wav",2017-08-30 19:06:44,"Nycnoc",8,FALSE,"-","-","-"
"SR2_20180717_224258_000.wav",2018-07-17 22:42:58,"Nycnoc",9,FALSE,"-","-","-"
"SR2_20180723_212031_000.wav",2018-07-23 21:20:31,"Nycnoc",9,FALSE,"-","-","-"
"SR2_20160917_193831_000.wav",2016-09-17 19:38:31,"Nycnoc",9,FALSE,"-","-","-"
"SR2_20171014_171722_000.wav",2017-10-14 17:17:22,"Nycnoc",9,FALSE,"-","-","-"
"SR2_20180716_222837_000.wav",2018-07-16 22:28:37,"Nycnoc",9,FALSE,"-","-","-"
"SR2_20160729_025612_896.wav",2016-07-29 02:56:12,"Nycnoc",9,FALSE,"-","-","-"
"SR2_20180716_222829_000.wav",2018-07-16 22:28:29,"Nycnoc",9,FALSE,"-","-","-"
"SR2_20180715_025617_000.wav",2018-07-15 02:56:17,"Nycnoc",9,FALSE,"-","-","-"
"SR2_20180728_205533_000.wav",2018-07-28 20:55:33,"Nycnoc",9,FALSE,"-","-","-"
"SR2_20160909_194544_000.wav",2016-09-09 19:45:44,"Nycnoc",9,FALSE,"-","-","-"
"SR2_20171014_171217_000.wav",2017-10-14 17:12:17,"Nycnoc",9,FALSE,"-","-","-"
"SR2_20170901_194509_000.wav",2017-09-01 19:45:09,"Nycnoc",9,FALSE,"-","-","-"
"SR2_20180720_021121_000.wav",2018-07-20 02:11:21,"Nycnoc",9,FALSE,"-","-","-"
"SR2_20180713_002213_000.wav",2018-07-13 00:22:13,"Nycnoc",9,FALSE,"-","-","-"
"SR2_20170822_194952_000.wav",2017-08-22 19:49:52,"Nycnoc",9,FALSE,"-","-","-"
"SR2_20180719_205541_000.wav",2018-07-19 20:55:41,"Nycnoc",9,FALSE,"-","-","-"
"SR2_20180721_223640_000.wav",2018-07-21 22:36:40,"Nycnoc",9,FALSE,"-","-","-"
"SR2_20160922_190856_000.wav",2016-09-22 19:08:56,"Nycnoc",9,FALSE,"-","-","-"
"SR2_20180707_230534_000.wav",2018-07-07 23:05:34,"Nycnoc",9,FALSE,"-","-","-"
"SR2_20180713_214211_000.wav",2018-07-13 21:42:11,"Nycnoc",9,FALSE,"-","-","-"
"SR2_20170830_195044_000.wav",2017-08-30 19:50:44,"Nycnoc",9,FALSE,"-","-","-"
"SR2_20170906_192150_000.wav",2017-09-06 19:21:50,"Nycnoc",9,FALSE,"-","-","-"
"SR2_20160730_234214_329.wav",2016-07-30 23:42:14,"Nycnoc",9,FALSE,"-","-","-"
"SR2_20170826_202921_000.wav",2017-08-26 20:29:21,"Nycnoc",9,FALSE,"-","-","-"
"SR2_20171015_171751_000.wav",2017-10-15 17:17:51,"Nycnoc",9,FALSE,"-","-","-"
